#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:twin" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:twin" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:twin" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:twin" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:twin" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:twin">
#                    <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:twin" name="distribution" x="@ePopSize.t:twin">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:twin" name="distribution" x="@growthRate.t:twin">
#            <LaplaceDistribution id="LaplaceDistribution.101" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mu">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="scale">1.0</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <prior id="kappa1Prior.s:twin" name="distribution">
#            <parameter id="kappa1.s:twin" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:twin" name="distribution">
#            <parameter id="kappa2.s:twin" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:twin" kappa1="@kappa1.s:twin" kappa2="@kappa2.s:twin" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	CoalescentExponential	ePopSize	growthRate
0	-15346.548263952764	-15335.889758805653	-15346.548263952764	10.658505147110562	-15346.548263952764	0.04405116835195997	2.7185584202268913	1.2177700782533931	0.24810774380353431	0.24949735211736013	0.2420695968290945	0.26032530725001113	11.758839540618272	0.033660681295480846	-0.11099686996978031
1	-13096.20155229641	-13095.081205976508	-13096.20155229641	1.120346319901156	-13096.20155229641	0.15097794320097532	3.0422857072927156	1.5483012460452192	0.25445572616726425	0.251118772363368	0.25504802170641755	0.2393774797629503	4.809972372275054	0.23850492671243556	0.4904816570094894
2	-9941.169770017414	-9954.030716000918	-9941.169770017414	-12.860945983504967	-9941.169770017414	1.1809246646280465	5.498855574591162	1.5483012460452192	0.25475476409357667	0.2597573083072165	0.2513627335369307	0.23412519406227625	-7.134925414970318	0.5208114416966996	0.9991645443894508
3	-9640.458086247429	-9650.820566792936	-9640.458086247429	-10.362480545507761	-9640.458086247429	0.8260562406281723	10.49262899874544	2.3054921404184316	0.2467257488427513	0.24471991317571054	0.24203674402812658	0.2665175939534117	-2.844291834232971	1.1223641672701403	0.6470102732996692
4	-8352.295078688463	-8376.378354343957	-8352.295078688463	-24.083275655493026	-8352.295078688463	24.286280785641164	11.523355248501328	2.059366259569527	0.25139640035781946	0.22983793116476092	0.25324835982083665	0.2655173086565831	-15.525744733494424	5.261588867379335	-0.06076137093516332
5	-8314.408217753095	-8347.168492230694	-8314.408217753095	-32.760274477599694	-8314.408217753095	55.88991983798248	1.8103545240801264	1.3394805141193935	0.25609832515013864	0.2257672225317313	0.25668680117685766	0.2614476511412725	-23.932330875748296	111.8136840092363	0.03484533987703031
6	-8312.341901706994	-8343.432897959896	-8312.341901706994	-31.09099625290157	-8312.341901706994	33.11677396512751	2.454035636036499	2.070452050551471	0.2528058793433526	0.23974823078332372	0.2494256536032596	0.2580202362700642	-20.143228467733326	481.4122119943874	0.14116956991223528
7	-8176.309805988858	-8199.788821107428	-8176.309805988858	-23.479015118569507	-8176.309805988858	7.334468482700554	2.5079561710822906	4.656859137111017	0.2549654810637879	0.2387029173152851	0.2665119912491201	0.23981961037180693	-14.78808872288658	20.181209280630057	0.1562388191540267
8	-8063.482504060587	-8090.121588966722	-8063.482504060587	-26.63908490613412	-8063.482504060587	17.137106943452284	1.6678835557711027	5.175017563526886	0.25761105161080594	0.23527183071812144	0.25416671157508536	0.25295040609598735	-18.423231728780973	16.602623125933558	0.06458722025498687
9	-7933.184834102985	-7952.501522358354	-7933.184834102985	-19.316688255368913	-7933.184834102985	5.337201225193844	2.336680665579815	3.9888882467745113	0.24133385897436976	0.23864466834017642	0.2548139079082378	0.2652075647772161	-12.197561371247705	5.806358436882954	0.09622947235709045
10	-7911.763950758884	-7928.2269378858155	-7911.763950758884	-16.46298712693149	-7911.763950758884	2.4108709197981195	2.4951392073542102	5.294772262954834	0.24485142794556222	0.2496779946257052	0.23232650807891267	0.27314406934982	-9.83605563249741	2.0554891506360375	-0.20344904458584212
11	-7816.42672549519	-7843.620545412772	-7816.42672549519	-27.193819917581905	-7816.42672549519	4.937619546080147	1.1875837623585448	13.796802128273887	0.23573606097111094	0.26293647108282175	0.2421689334376789	0.25915853450838855	-13.205513487527243	372.78054915309116	1.2298042806508642
12	-7806.947170096082	-7830.662915412195	-7806.947170096082	-23.715745316112404	-7806.947170096082	3.3565588293732818	1.2266170649733577	18.81946841457554	0.2325355691138412	0.27182879976558827	0.22987516787058074	0.26576046324998986	-9.953697230717014	113.76344695528573	1.5108207639005793
